Date,lenoxHill,Average,IMDbRating,#Season,TotalSeason,Mean,Median,Quantile
2020-06-07,72,56.0,0.86,1,1,low,low,low
2020-06-14,100,58.73913043478261,0.86,0,1,low,low,low
2020-06-21,74,57.43478260869565,0.86,0,1,low,low,low
2020-06-28,62,53.43478260869565,0.86,0,1,low,low,low
2020-07-05,49,54.17391304347826,0.86,0,1,low,low,low
2020-07-12,44,57.391304347826086,0.86,0,1,low,low,low
2020-07-19,35,56.65217391304348,0.86,0,1,low,low,low
2020-07-26,30,60.65217391304348,0.86,0,1,low,low,normal
2020-08-02,25,55.04347826086956,0.86,0,1,low,low,low
2020-08-09,22,53.73913043478261,0.86,0,1,low,low,low
2020-08-16,22,52.04347826086956,0.86,0,1,low,low,low
2020-08-23,20,52.73913043478261,0.86,0,1,low,low,low
2020-08-30,20,55.73913043478261,0.86,0,1,low,low,low
2020-09-06,19,54.65217391304348,0.86,0,1,low,low,low
2020-09-13,16,56.21739130434783,0.86,0,1,low,low,low
2020-09-20,16,57.04347826086956,0.86,0,1,low,low,low
2020-09-27,16,56.869565217391305,0.86,0,1,low,low,low
2020-10-04,16,58.130434782608695,0.86,0,1,low,low,low
2020-10-11,16,60.0,0.86,0,1,low,low,normal
2020-10-18,16,60.130434782608695,0.86,0,1,low,low,normal
2020-10-25,15,57.608695652173914,0.86,0,1,low,low,low
2020-11-01,12,48.08695652173913,0.86,0,1,low,low,low
2020-11-08,15,57.91304347826087,0.86,0,1,low,low,low
2020-11-15,16,58.69565217391305,0.86,0,1,low,low,low
2020-11-22,13,49.391304347826086,0.86,0,1,low,low,low
2020-11-29,14,55.91304347826087,0.86,0,1,low,low,low
2020-12-06,15,57.43478260869565,0.86,0,1,low,low,low
2020-12-13,15,55.04347826086956,0.86,0,1,low,low,low
2020-12-20,14,43.95652173913044,0.86,0,1,low,low,low
2020-12-27,15,47.130434782608695,0.86,0,1,low,low,low
2021-01-03,17,51.95652173913044,0.86,0,1,low,low,low
2021-01-10,21,55.08695652173913,0.86,0,1,low,low,low
2021-01-17,18,55.95652173913044,0.86,0,1,low,low,low
2021-01-24,18,60.04347826086956,0.86,0,1,low,low,normal
2021-01-31,14,59.869565217391305,0.86,0,1,low,low,normal
2021-02-07,16,59.52173913043478,0.86,0,1,low,low,normal
2021-02-14,16,57.608695652173914,0.86,0,1,low,low,low
2021-02-21,16,61.82608695652174,0.86,0,1,high,high,normal
2021-02-28,17,61.73913043478261,0.86,0,1,high,low,normal
2021-03-07,15,59.91304347826087,0.86,0,1,low,low,normal
2021-03-14,17,54.26086956521739,0.86,0,1,low,low,low
2021-03-21,16,57.47826086956522,0.86,0,1,low,low,low
2021-03-28,17,57.130434782608695,0.86,0,1,low,low,low
2021-04-04,17,58.130434782608695,0.86,0,1,low,low,low
2021-04-11,16,61.21739130434783,0.86,0,1,low,low,normal
2021-04-18,17,60.0,0.86,0,1,low,low,normal
2021-04-25,16,60.0,0.86,0,1,low,low,normal
2021-05-02,17,59.0,0.86,0,1,low,low,normal
2021-05-09,16,59.17391304347826,0.86,0,1,low,low,normal
2021-05-16,16,59.82608695652174,0.86,0,1,low,low,normal
2021-05-23,17,59.869565217391305,0.86,0,1,low,low,normal
2021-05-30,16,55.95652173913044,0.86,0,1,low,low,low
2021-06-06,16,56.69565217391305,0.86,0,1,low,low,low
2021-06-13,17,56.26086956521739,0.86,0,1,low,low,low
2021-06-20,17,59.69565217391305,0.86,0,1,low,low,normal
2021-06-27,17,55.17391304347826,0.86,0,1,low,low,low
2021-07-04,15,56.869565217391305,0.86,0,1,low,low,low
2021-07-11,20,59.608695652173914,0.86,0,1,low,low,normal
2021-07-18,22,59.608695652173914,0.86,0,1,low,low,normal
2021-07-25,23,60.82608695652174,0.86,0,1,low,low,normal
2021-08-01,21,56.30434782608695,0.86,0,1,low,low,low
2021-08-08,23,58.17391304347826,0.86,0,1,low,low,low
2021-08-15,22,59.04347826086956,0.86,0,1,low,low,normal
2021-08-22,23,59.869565217391305,0.86,0,1,low,low,normal
2021-08-29,20,58.30434782608695,0.86,0,1,low,low,low
2021-09-05,18,58.30434782608695,0.86,0,1,low,low,low
2021-09-12,19,62.21739130434783,0.86,0,1,high,high,normal
2021-09-19,20,61.391304347826086,0.86,0,1,high,low,normal
2021-09-26,22,60.26086956521739,0.86,0,1,low,low,normal
2021-10-03,20,60.73913043478261,0.86,0,1,low,low,normal
2021-10-10,22,60.17391304347826,0.86,0,1,low,low,normal
2021-10-17,22,62.04347826086956,0.86,0,1,high,high,normal
2021-10-24,22,61.82608695652174,0.86,0,1,high,high,normal
2021-10-31,22,61.91304347826087,0.86,0,1,high,high,normal
2021-11-07,21,61.69565217391305,0.86,0,1,high,low,normal
2021-11-14,23,61.69565217391305,0.86,0,1,high,low,normal
2021-11-21,15,49.391304347826086,0.86,0,1,low,low,low
2021-11-28,22,59.130434782608695,0.86,0,1,low,low,normal
2021-12-05,23,58.95652173913044,0.86,0,1,low,low,normal
2021-12-12,21,58.08695652173913,0.86,0,1,low,low,low
2021-12-19,17,50.08695652173913,0.86,0,1,low,low,low
2021-12-26,17,50.73913043478261,0.86,0,1,low,low,low
2022-01-02,19,59.391304347826086,0.86,0,1,low,low,normal
2022-01-09,20,62.130434782608695,0.86,0,1,high,high,normal
2022-01-16,17,59.08695652173913,0.86,0,1,low,low,normal
2022-01-23,21,63.0,0.86,0,1,high,high,normal
2022-01-30,20,65.56521739130434,0.86,0,1,high,high,high
2022-02-06,22,69.43478260869566,0.86,0,1,high,high,high
2022-02-13,20,69.0,0.86,0,1,high,high,high
2022-02-20,20,67.34782608695652,0.86,0,1,high,high,high
2022-02-27,20,67.82608695652173,0.86,0,1,high,high,high
2022-03-06,20,65.47826086956522,0.86,0,1,high,high,high
2022-03-13,20,65.3913043478261,0.86,0,1,high,high,high
2022-03-20,21,66.43478260869566,0.86,0,1,high,high,high
2022-03-27,22,68.08695652173913,0.86,0,1,high,high,high
2022-04-03,20,67.52173913043478,0.86,0,1,high,high,high
2022-04-10,19,64.69565217391305,0.86,0,1,high,high,high
2022-04-17,20,66.73913043478261,0.86,0,1,high,high,high
2022-04-24,20,65.95652173913044,0.86,0,1,high,high,high
2022-05-01,20,65.26086956521739,0.86,0,1,high,high,high
2022-05-08,21,64.30434782608695,0.86,0,1,high,high,high
2022-05-15,21,62.08695652173913,0.86,0,1,high,high,normal
2022-05-22,21,61.47826086956522,0.86,0,1,high,low,normal
2022-05-29,20,56.30434782608695,0.86,0,1,low,low,low
2022-06-05,21,60.608695652173914,0.86,0,1,low,low,normal
2022-06-12,22,60.34782608695652,0.86,0,1,low,low,normal
2022-06-19,22,62.21739130434783,0.86,0,1,high,high,normal
2022-06-26,22,62.21739130434783,0.86,0,1,high,high,normal
2022-07-03,21,57.04347826086956,0.86,0,1,low,low,low
2022-07-10,21,63.69565217391305,0.86,0,1,high,high,normal
2022-07-17,22,63.04347826086956,0.86,0,1,high,high,normal
2022-07-24,22,62.56521739130435,0.86,0,1,high,high,normal
2022-07-31,23,63.21739130434783,0.86,0,1,high,high,normal
2022-08-07,23,61.73913043478261,0.86,0,1,high,low,normal
2022-08-14,21,60.82608695652174,0.86,0,1,low,low,normal
2022-08-21,21,63.391304347826086,0.86,0,1,high,high,normal
2022-08-28,20,61.47826086956522,0.86,0,1,high,low,normal
2022-09-04,17,59.608695652173914,0.86,0,1,low,low,normal
2022-09-11,22,62.30434782608695,0.86,0,1,high,high,normal
2022-09-18,21,63.17391304347826,0.86,0,1,high,high,normal
2022-09-25,21,60.608695652173914,0.86,0,1,low,low,normal
2022-10-02,21,63.608695652173914,0.86,0,1,high,high,normal
2022-10-09,21,63.52173913043478,0.86,0,1,high,high,normal
2022-10-16,22,63.43478260869565,0.86,0,1,high,high,normal
2022-10-23,23,63.869565217391305,0.86,0,1,high,high,normal
2022-10-30,22,63.56521739130435,0.86,0,1,high,high,normal
2022-11-06,22,60.869565217391305,0.86,0,1,low,low,normal
2022-11-13,23,63.04347826086956,0.86,0,1,high,high,normal
2022-11-20,16,50.17391304347826,0.86,0,1,low,low,low
2022-11-27,21,60.73913043478261,0.86,0,1,low,low,normal
2022-12-04,21,63.0,0.86,0,1,high,high,normal
2022-12-11,21,60.391304347826086,0.86,0,1,low,low,normal
2022-12-18,20,53.0,0.86,0,1,low,low,low
2022-12-25,17,50.08695652173913,0.86,0,1,low,low,low
2023-01-01,21,58.95652173913044,0.86,0,1,low,low,normal
2023-01-08,24,62.869565217391305,0.86,0,1,high,high,normal
2023-01-15,23,63.21739130434783,0.86,0,1,high,high,normal
2023-01-22,24,69.56521739130434,0.86,0,1,high,high,high
2023-01-29,23,68.56521739130434,0.86,0,1,high,high,high
2023-02-05,24,67.3913043478261,0.86,0,1,high,high,high
2023-02-12,23,65.17391304347827,0.86,0,1,high,high,high
2023-02-19,23,64.6086956521739,0.86,0,1,high,high,high
2023-02-26,26,68.0,0.86,0,1,high,high,high
2023-03-05,24,66.47826086956522,0.86,0,1,high,high,high
2023-03-12,26,66.65217391304348,0.86,0,1,high,high,high
2023-03-19,25,67.78260869565217,0.86,0,1,high,high,high
2023-03-26,33,64.8695652173913,0.86,0,1,high,high,high
2023-04-02,48,64.0,0.86,0,1,high,high,normal
2023-04-09,41,65.95652173913044,0.86,0,1,high,high,high
2023-04-16,33,67.0,0.86,0,1,high,high,high
2023-04-23,27,66.8695652173913,0.86,0,1,high,high,high
2023-04-30,25,65.3913043478261,0.86,0,1,high,high,high
2023-05-07,25,64.30434782608695,0.86,0,1,high,high,high
2023-05-14,24,67.95652173913044,0.86,0,1,high,high,high
2023-05-21,25,62.73913043478261,0.86,0,1,high,high,normal
2023-05-28,25,58.30434782608695,0.86,0,1,low,low,low
2023-06-04,25,60.30434782608695,0.86,0,1,low,low,normal
2023-06-11,29,63.608695652173914,0.86,0,1,high,high,normal
2023-06-18,24,62.30434782608695,0.86,0,1,high,high,normal
2023-06-25,23,61.95652173913044,0.86,0,1,high,high,normal
2023-07-02,23,57.82608695652174,0.86,0,1,low,low,low
2023-07-09,24,63.56521739130435,0.86,0,1,high,high,normal
2023-07-16,24,63.04347826086956,0.86,0,1,high,high,normal
2023-07-23,23,61.47826086956522,0.86,0,1,high,low,normal
2023-07-30,24,59.73913043478261,0.86,0,1,low,low,normal
2023-08-06,24,62.130434782608695,0.86,0,1,high,high,normal
2023-08-13,24,60.43478260869565,0.86,0,1,low,low,normal
2023-08-20,23,59.08695652173913,0.86,0,1,low,low,normal
2023-08-27,24,61.04347826086956,0.86,0,1,low,low,normal
2023-09-03,20,61.52173913043478,0.86,0,1,high,low,normal
2023-09-10,21,63.78260869565217,0.86,0,1,high,high,normal
2023-09-17,22,65.21739130434783,0.86,0,1,high,high,high
2023-09-24,20,65.73913043478261,0.86,0,1,high,high,high
2023-10-01,24,63.91304347826087,0.86,0,1,high,high,normal
2023-10-08,22,61.43478260869565,0.86,0,1,high,low,normal
2023-10-15,26,63.608695652173914,0.86,0,1,high,high,normal
2023-10-22,22,64.30434782608695,0.86,0,1,high,high,high
2023-10-29,22,64.34782608695652,0.86,0,1,high,high,high
2023-11-05,22,63.95652173913044,0.86,0,1,high,high,normal
2023-11-12,23,65.3913043478261,0.86,0,1,high,high,high
2023-11-19,16,53.82608695652174,0.86,0,1,low,low,low
2023-11-26,23,64.1304347826087,0.86,0,1,high,high,normal
2023-12-03,22,65.17391304347827,0.86,0,1,high,high,high
2023-12-10,22,63.130434782608695,0.86,0,1,high,high,normal
2023-12-17,21,56.78260869565217,0.86,0,1,low,low,low
2023-12-24,21,52.130434782608695,0.86,0,1,low,low,low
2023-12-31,21,60.130434782608695,0.86,0,1,low,low,normal
2024-01-07,23,62.130434782608695,0.86,0,1,high,high,normal
2024-01-14,21,61.65217391304348,0.86,0,1,high,low,normal
2024-01-21,21,66.26086956521739,0.86,0,1,high,high,high
2024-01-28,22,68.43478260869566,0.86,0,1,high,high,high
2024-02-04,22,70.43478260869566,0.86,0,1,high,high,high
2024-02-11,20,67.3913043478261,0.86,0,1,high,high,high
2024-02-18,21,69.21739130434783,0.86,0,1,high,high,high
2024-02-25,22,67.6086956521739,0.86,0,1,high,high,high
2024-03-03,22,67.6086956521739,0.86,0,1,high,high,high
2024-03-10,25,65.0,0.86,0,1,high,high,high
2024-03-17,25,68.52173913043478,0.86,0,1,high,high,high
2024-03-24,22,63.52173913043478,0.86,0,1,high,high,normal
2024-03-31,22,65.47826086956522,0.86,0,1,high,high,high
2024-04-07,22,64.30434782608695,0.86,0,1,high,high,high
2024-04-14,24,68.65217391304348,0.86,0,1,high,high,high
2024-04-21,24,67.69565217391305,0.86,0,1,high,high,high
2024-04-28,23,64.91304347826087,0.86,0,1,high,high,high
2024-05-05,24,65.73913043478261,0.86,0,1,high,high,high
2024-05-12,23,64.0,0.86,0,1,high,high,normal
2024-05-19,23,64.08695652173913,0.86,0,1,high,high,normal
2024-05-26,20,59.869565217391305,0.86,0,1,low,low,normal
2024-06-02,23,64.1304347826087,0.86,0,1,high,high,normal
2024-06-09,22,62.17391304347826,0.86,0,1,high,high,normal
2024-06-16,23,60.78260869565217,0.86,0,1,low,low,normal
2024-06-23,24,63.69565217391305,0.86,0,1,high,high,normal
2024-06-30,20,58.73913043478261,0.86,0,1,low,low,low
2024-07-07,25,62.30434782608695,0.86,0,1,high,high,normal
2024-07-14,24,62.17391304347826,0.86,0,1,high,high,normal
2024-07-21,24,62.0,0.86,0,1,high,high,normal
2024-07-28,23,62.43478260869565,0.86,0,1,high,high,normal
2024-08-04,23,60.56521739130435,0.86,0,1,low,low,normal
2024-08-11,24,61.78260869565217,0.86,0,1,high,low,normal
2024-08-18,25,62.82608695652174,0.86,0,1,high,high,normal
2024-08-25,22,63.52173913043478,0.86,0,1,high,high,normal
2024-09-01,20,63.91304347826087,0.86,0,1,high,high,normal
2024-09-08,23,66.04347826086956,0.86,0,1,high,high,high
2024-09-15,22,67.47826086956522,0.86,0,1,high,high,high
2024-09-22,23,64.91304347826087,0.86,0,1,high,high,high
2024-09-29,22,65.26086956521739,0.86,0,1,high,high,high
2024-10-06,23,63.608695652173914,0.86,0,1,high,high,normal
2024-10-13,21,63.82608695652174,0.86,0,1,high,high,normal
2024-10-20,24,67.47826086956522,0.86,0,1,high,high,high
2024-10-27,23,66.34782608695652,0.86,0,1,high,high,high
2024-11-03,21,61.78260869565217,0.86,0,1,high,low,normal
2024-11-10,25,68.65217391304348,0.86,0,1,high,high,high
2024-11-17,24,69.78260869565217,0.86,0,1,high,high,high
2024-11-24,19,56.95652173913044,0.86,0,1,low,low,low
